H2.point,H2.CI.lower,H2.CI.upper,H2.CI.level,drug,h2.point,h2.upper,h2.lower,concentration_um,diluent,type,class,big_class,nice_drug_label,nice_drug_label2,concentration_notes
0.4738064667061807,0.41320582139141127,0.5291835477024842,0.95,Carboxin,0.0758151281379338,0.13140641827619148,0.020223837999676107,538.66,DMSO,Toxicant,Fungicide,Fungicide,Carboxin,Carboxin,
0.6602980534797693,0.6044996770608265,0.7055946340683493,0.95,Triphenyl phosphate_50,0.337213830486736,0.4350485827003739,0.23937907827309807,50,DMSO,Toxicant,Flame Retardant,Flame Retardant,Triphenyl phosphate 50uM,TPhP 50µM,
0.6901373621200187,0.639908258403233,0.7323750398308364,0.95,Aldicarb,0.17412733734851277,0.2513102489741869,0.09694442572283861,156.25,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Aldicarb,Aldicarb,
0.6014721116106482,0.543414024908459,0.6521741158313679,0.95,Methyl mercury,0.1984023409442681,0.27964681286392473,0.11715786902461145,15.620000000000001,DMSO,Toxicant,Metal,Metal,Methyl mercury,Mercury,Calculated concentration from from doseCheck_processed_data is 16.22uM 4% diff
0.3179081984586206,0.2623723152889867,0.37133284209190265,0.95,Mancozeb,0.16274664240217435,0.2378254877085505,0.08766779709579818,102.4,DMSO,Toxicant,Fungicide,Fungicide,Mancozeb,Mancozeb,Calculated concentration from doseCheck_processed_data is 65.5uM
0.6223432076380174,0.5580657329581385,0.6762050264003683,0.95,Paraquat_62.5,0.08464524113079179,0.15245541550706837,0.01683506675451521,62.5,Water,Toxicant,Herbicide,Herbicide,Paraquat 62.5uM,Paraquat 62.5µM,
0.33353585913153616,0.27678382784960887,0.3869785417757683,0.95,Lead nitrate,0.2657757972023129,0.35609534173605817,0.17545625266856768,49.74,Water,Toxicant,Metal,Metal,Lead nitrate,Lead,
0.4164051770611873,0.35295613633141715,0.474860896557831,0.95,Malathion,0.21437225639377666,0.29793539471618086,0.13080911807137247,790.12,DMSO,Toxicant,Organophosphate Insecticide,Insecticide,Malathion,Malathion,
0.554705046025763,0.4943415159057098,0.6074640808811227,0.95,Pyraclostrobin,0.274189091542334,0.3651979410050037,0.18318024207966435,93.75,DMSO,Toxicant,Fungicide,Fungicide,Pyraclostrobin,Pyraclostrobin,
0.44179672690150473,0.37991352792499805,0.49813695064142577,0.95,Arsenic trioxide,0.06593337709724455,0.1185446698800453,0.013322084314443788,242.26,Water,Toxicant,Metal,Metal,Arsenic trioxide,Arsenic,
0.29997755987810576,0.24465988549494325,0.3556375378404412,0.95,2_4-D,0.03611844215647267,0.07949049361135935,-0.00725360929841401,751.3100000000001,DMSO,Toxicant,Herbicide,Herbicide,"2,4-D","2,4-D",
0.6771090744736217,0.6147116292516578,0.7286082876511221,0.95,Methomyl,0.43374890575621317,0.560695568758836,0.3068022427535903,50,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Methomyl,Methomyl,
0.7004926984580239,0.6503757481676912,0.7417355326413632,0.95,Nickel dichloride,0.33439037927469095,0.43144823598557697,0.23733252256380494,100,Water,Toxicant,Metal,Metal,Nickel dichloride,Nickel,
0.28565648414815653,0.23197209326524168,0.3383059971554242,0.95,Propoxur,0.10443101083101167,0.1673499891577572,0.04151203250426613,195.09,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Propoxur,Propoxur,
0.8202887231317082,0.7834687661313566,0.8498455562676585,0.95,Silver nitrate_250,0.4398341106577762,0.5442609740747018,0.33540724724085064,250,Water,Toxicant,Metal,Metal,Silver nitrate 250uM,Silver 250µM,
0.4977338581784822,0.4321478224843434,0.554942652370835,0.95,Chlorpyrifos,0.2335999818689013,0.32704750367905844,0.14015246005874415,2.7,DMSO,Toxicant,Organophosphate Insecticide,Insecticide,Chlorpyrifos,Chlorpyrifos,
0.6363940952014435,0.5801697335376149,0.6844222256739768,0.95,Cadmium dichloride,0.30688709294287286,0.40249651116019813,0.2112776747255476,100,Water,Toxicant,Metal,Metal,Cadmium dichloride,Cadmium,
0.7380282809846177,0.6919320155766353,0.7761767957555542,0.95,Paraquat_250,0.5069402229788987,0.6093847743151141,0.4044956716426834,250,Water,Toxicant,Herbicide,Herbicide,Paraquat 250uM,Paraquat 250µM,
0.46961001082422205,0.40364489216658805,0.5273055204224029,0.95,Triphenyl phosphate_6.25,0.116877431168565,0.1875175224936126,0.046237339843517425,6.25,DMSO,Toxicant,Flame Retardant,Flame Retardant,Triphenyl phosphate 6.25uM,TPhP 6.25µM,
0.7700291526340883,0.7199123773402631,0.8093561116317288,0.95,Chlorfenapyr,0.2382872468578894,0.34144877273934027,0.13512572097643857,0.62,DMSO,Toxicant,Pro-Insecticide,Insecticide,Chlorfenapyr,Chlorfenapyr,
0.4925879869007523,0.4308573947178651,0.5479119607618503,0.95,Carbaryl,0.1370858393953348,0.20725181246631186,0.06691986632435776,262.14,DMSO,Toxicant,Carbamate Insecticide,Insecticide,Carbaryl,Carbaryl,
0.6161512355532429,0.5575095249808317,0.6657429315398015,0.95,Copper chloride,0.3710408622197331,0.4700891437179759,0.2719925807214903,100,Water,Toxicant,Metal,Metal,Copper chloride,Copper,
0.43202779157032234,0.37054600700864754,0.4874402211244723,0.95,Chlorothalonil,0.16496842073923984,0.24040218574557431,0.08953465573290535,111.11,DMSO,Toxicant,Fungicide,Fungicide,Chlorothalonil,Chlorothalonil,
0.36279537683693613,0.301510530557218,0.42024638517615515,0.95,Zinc dichloride,0.08071348856451281,0.14218442574563173,0.01924255138339389,50,Water,Toxicant,Metal,Metal,Zinc dichloride,Zinc,
0.4703265123320454,0.40856125443761093,0.5266025280607559,0.95,Atrazine,0.04143950444192976,0.08611806347902191,-0.0032390545951623967,510.20000000000005,DMSO,Toxicant,Herbicide,Herbicide,Atrazine,Atrazine,
0.3274170660306136,0.2698981434000917,0.3815353505254424,0.95,Silver nitrate_7.8,0.07070144091962968,0.12471157845247571,0.01669130338678365,7.800000000000001,Water,Toxicant,Metal,Metal,Silver nitrate 7.8uM,Silver 7.8µM,
