strain,previous_names,caendr_release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes
ECA2607,S-13222,20210121,ECA,-37.825658,144.9770918,Botanical_garden_or_zoo,"",Rotting_flower,"",23.3,26.2,59.3,"",E. Andersen,R. Tanny,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2615,S-13424,20210121,ECA,-37.82444444,145.4433333,Agricultural_land,"",Rotting_nut/pod/seed/fruit,"",23.3,24.3,55.9,"",L. Stevens,R. Tanny,2020-02-21,Fulcrum collection 2020FebruaryAustralia
ECA2656,S-13224,20210121,ECA,-37.825658,144.9770918,Botanical_garden_or_zoo,"",Rotting_flower,"",23.3,26.2,59.3,"",E. Andersen,R. Tanny,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2659,S-13278,20210121,ECA,-37.8274278,144.980163,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,Figs,21.4,26.2,58.9,"",E. Andersen,L. Stevens,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2660,S-13279,20210121,ECA,-37.8274278,144.980163,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,Figs,21.4,26.2,58.9,"",E. Andersen,L. Stevens,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2672,S-12494,20210121,ECA,-37.8701549,144.9824148,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",19,20.8,64.4,"",L. Stevens,C. Buchanan,2020-02-22,Fulcrum collection 2020FebruaryAustralia
EG4349,"",20160408,EG,40.771467,-111.87316,Agricultural_land,Utah,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M. Ailion,M. Ailion,2006-10-02,""
ECA36,GD6,20160408,ECA,-36.893333,174.745529,Urban_garden,"Auckland, New Zealand",Vegetal_litter/mix,garden grass,,,,"",I. Ly,K. Ly,2013-07-27,"Russel Snell's lab, no CGC lab designation so given an ECA strain name"
ECA396,"",20170531,ECA,19.449831,-155.235493,Rural_garden,Hawaii,Rotting_nut/pod/seed/fruit,"rotting fruit, lemons",,,,"",G. Chavez,R. Tanny,2016-05-17,""
ECA594,"",20180413,ECA,34.417532,-119.640673,Urban_garden,"Santa Barbar, USA",Rotting_nut/pod/seed/fruit,rotting fruit (on ground),,,,"",E. Andersen,E. Andersen,2017-03-07,""
ECA640,"",20180413,ECA,34.065378,-118.441156,Urban_garden,"Los Angeles, USA",Rotting_nut/pod/seed/fruit,rotting fruit (on ground),,,,"",E. Andersen,R. Tanny,2017-06-22,""
ECA923,"",20180413,ECA,21.290067,-157.707918,Urban_garden,"Oahu, Hawaii",Fungus,mushroom purchased from grocery store and left outside,,,,"",N. Singh,B. Rodriguez,2017-12-01,""
ED3017,"",20160408,VX,55.92,-3.19,Urban_garden,Scotland,Compost,compost bin,,,,"",A. Cutter,A. Cutter,2004-12-03,isolated from Midmar Allotment public vegetable garden
ED3046,"",20160408,VX,-33.366667,19.316667,Urban_garden,Western Cape,Compost,compost heap,,,,"",E. Dolgin,E. Dolgin,2006-05-05,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3048,"",20160408,VX,-33.366667,19.316667,Urban_garden,Western Cape,Compost,compost heap,,,,"",E. Dolgin,E. Dolgin,2006-04-02,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3049,"",20160408,VX,-33.366667,19.316667,Urban_garden,Western Cape,Compost,compost heap,,,,"",E. Dolgin,E. Dolgin,2006-04-02,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3052,"",20160408,VX,-33.366667,19.316667,Urban_garden,Western Cape,Compost,compost heap,,,,"",E. Dolgin,E. Dolgin,2006-05-05,Isolated from compost at a plant nursery at the Ceres Fruit Farms in the Western Cape province near Ceres
ED3073,"",20160408,VX,-1.083333,36.65,Agricultural_land,Kiambu County,Compost,compost heap,,,,"",E. Dolgin,E. Dolgin,2006-05-17,"Isolated from compost from the Olive Mushroom Farms near the town of Limuru, Kenya;  altitude 2356m"
JT11398,"",20160408,JT,47.763944,-122.275484,Urban_garden,Washington,Compost,worm bin,,,,"",J. Kemner,J. Kemner,2003-12-01,"Isolated from worm bin in contact with soil at 18704 50th Ave Lake Forest Park, WA outside of Seattle. Bin was fed kitchen scraps and espresso ground. Isolated by single worm pick from fluidized worm castings. Fertile with C. elegans males."
JU1172,C6.2.1,20160408,JU,-36.87,-73.04,Urban_garden,Region del Bio Bio,Compost,compost heap,,,,"",M.-A. Felix,M.-A. Felix,2007-04-01,"Isolated from a sample of soil (compost) in a pot with rotting tomatoes collected in April 2007 in Concepcion, Chile, in the Villuco area, 3 km SE of the town."
JU1200,TP,20160408,JU,55.577,-4.6,Rural_garden,Scotland,Compost,compost heap,,,,"",T. Page,T. Page,2007-08-01,Isolated by Tony Page from a compost heap sample recovered on 1 Aug 2007 in SouthWest Scotland 4°36.0’ West 55°34.6’ North.
JU1212,1.4.1,20160408,JU,48.71,-3.81,Rural_garden,Bretagne,Rotting_flower,"rotting stem, Arum maculata",,,,"",M.-A. Felix,M.-A. Felix,2007-09-24,"Isolated by MAF from a rotting arum stem collected on 24 Sep 07 behind the water reservoir in Primel, France."
JU1213,6.2.1,20160408,JU,48.71,-3.81,Rural_garden,Bretagne,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2007-09-24,"Isolated by MAF from a rotting apple collected on 24 Sep 07 in Primel, France."
JU1249,14.1.5,20170531,JU,49.126,1.951,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,rotting fruit: apple,,,,"",M.-A. Felix,M.-A. Felix,2007-10-14,""
JU1395,E121,20160408,JU,47.2199,0.04619,Agricultural_land,Pays de la Loire,Compost,compost heap,,,,"",M.-A. Felix,M.-A. Felix,2008-03-01,"Isolated from shiitake mushroom compost remains outside the mushroom farm “Le Saut-aux-Loups”, Montsoreau (49), France, sampled 1/3/2008. Not independent from JU1394."
JU1440,B7.2.1,20160408,JU,41.41307,2.15231,Urban_garden,Catalunya,Rotting_nut/pod/seed/fruit,"rotting fruit, palm",,,,"",M.-A. Felix,M.-A. Felix,2008-06-09,"Isolated from rotting palm fruit sampled by MAF on 9 June 2008 in the Park Guëll, Barcelona, Spain. Picked as young adult on 11 June 2008."
JU1491,B10S8,20160408,JU,46.63,1.06,Forest,Centre,Rotting_stem,"rotting stem, Arum maculata",,,,"",M.-A. Felix,M.-A. Felix,2008-08-17,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug."
JU1530,O21.1.1,20160408,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2008-09-09,"Isolated from a rotting apple O21 (tree “Wealthy”, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00."
JU1543,O28.1.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2008-09-08,""
JU1568,I5.1.1,20160408,JU,48.8092,2.3862,Urban_garden,Ile-de-France,Rotting_stem,"rotting stem, Petasites hybridus",,,,"",M.-A. Felix,M.-A. Felix,2008-10-05,"Isolated from a rotting Petasites stem (#I5) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct."
JU1666,P09-21.1,20170531,JU,48.7049,-3.7941,Wet_shrubland,Brittany,Rotting_nut/pod/seed/fruit,rotting sloe (Prunus spinosa),,,,"",M.-A. Felix,M.-A. Felix,2009-07-14,""
JU1792,B09.6.2,20170531,JU,46.63278,1.064289,Forest,Centre-Val de Loire,Rotting_stem,rotting Arum stem sampled in woods,,,,"",M.-A. Felix,M.-A. Felix,2009-09-27,""
JU1793,S53.9.1,20170531,JU,49.12604,1.95114,Forest,Ile-de-France,Rotting_stem,rotting Heracleum stem,,,,"",M.-A. Felix,M.-A. Felix,2009-10-10,""
JU1934,S106.1.1,20170531,JU,49.12604,1.95114,Forest,Ile-de-France,Rotting_stem,rotting Heracleum stem S106,,,,"",M.-A. Felix,M.-A. Felix,2009-10-25,""
JU2106,13.6.1,20170531,JU,43.06,0.24,Rural_garden,Occitanie,Compost,compost heap,,,,"",M.-A. Felix,M.-A. Felix,2011-07-10,""
JU2131,Trep1.4,20170531,JU,48.0497,-4.705,Wet_shrubland,Brittany,Rotting_stem,"rotting stem, Heracleum sphondylium",,,,"",M.-A. Felix,M.-A. Felix,2011-08-09,"Isolated from a rotting Heracleum stem sampled by MAF in Baie des Trépassés (Finistère), France (48.0497, -4.7050) on 9 Aug 2011. Collected at ca. 20 cm from JU2132"
JU2141,B11.10.1,20170531,JU,46.6293,1.0512,Agricultural_land,Centre-Val de Loire,Rotting_nut/pod/seed/fruit,rotting walnuts (outer layer),,,,"",M.-A. Felix,M.-A. Felix,2011-10-23,""
JU2257,B13-5.5,20170531,JU,46.6,1.1,Rural_garden,Centre-Val de Loire,Compost,compost (in container),,,,"",M.-A. Felix,M.-A. Felix,2013-08-15,""
JU2464,Ag.Cal 2,20160408,JU,-13.155,-72.525,"",Cusco,Rotting_nut/pod/seed/fruit,fleshy fruit; rotten berry?,,,,"",L. Lokmane,L. Frezal,2013-01-01,"From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult isolated on 9 Jan 2013"
JU2466,ollanta 3A1,20160408,JU,-13.257,-72.266,"",Cusco,Rotting_nut/pod/seed/fruit,"rotting fruit, lemon",,,,"",L. Lokmane,L. Frezal,2013-01-01,"From a rotting lemon collected by Ludmilla Lokmane in Ollanta (Peru; -13.266085, -72.179351) in Jan 2013. Isolated by Lise Frézal. Line started from an adult isolated on 9 Jan 2013"
JU2513,G6.1,20160408,JU,38.26016,22.0736,"",Peloponnisos Dytiki Ellada ke Ionio,Rotting_nut/pod/seed/fruit,rotting orange,,,,"",M.-A. Felix,M.-A. Felix,2013-05-07,"Isolated from a rotting orange sampled by MAF near Aigio, Greece on 7 May 2013. 38.26016, 22.0736"
JU2522,"",20160408,JU,38.7175,-9.1486,Botanical_garden_or_zoo,Lisbon,Rotting_nut/pod/seed/fruit,Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae); botanical gardens,,,,"",M.-A. Felix,M.-A. Felix,2013-08-25,"Isolated from rotten fruits of Harpephyllum caffrum (Anacardiaceae) sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a young adult on 27 Aug. Same sample as JU2523. Same tree as JU775-7"
JU2565,"",20170531,JU,44.958394,1.066213,Rural_garden,Nouvelle-Aquitaine,Rotting_nut/pod/seed/fruit,"rotting fruit, figs",,,,"",T. Belicard,L. Frezal,2013-10-05,""
JU2570,niort7.2,20170531,JU,46.2657,-0.2685,Agricultural_land,Nouvelle-Aquitaine,Rotting_nut/pod/seed/fruit,rotting walnuts,,,,"",F. Besnard,L. Frezal,2013-11-13,""
JU2572,i6-3,20170531,JU,48.81257,2.395372,Urban_garden,Ile-de-France,Rotting_stem,rotting Petasites stems,,,,"",S. Marsh,S. Marsh,2013-10-01,""
JU2576,CR38.1,20170531,JU,49.0861,3.072,Forest,Ile-de-France,Rotting_stem,rotting stem,,,,"","M.-A. Felix, S. Marsh",M.-A. Felix,2013-10-26,""
JU2578,Bagn.3,20170531,JU,48.87613,2.4315,Botanical_garden_or_zoo,Ile-de-France,Compost,compost in the “jardin partagé”,,,,"",M.-A. Felix,M.-A. Felix,2013-10-27,""
JU258,M1.1,20160408,CGC,32.73,-16.89,Agricultural_land,Madeira,Soil,soil,,,,"",M.-A. Felix,M.-A. Felix,2001-10-01,"From Madeira Island, Portugal, Oct 01. Ribeiro Frio 1.1. Along a path through an orchard."
JU2587,"",20170531,JU,45.026713,3.872016,Urban_garden,Auvergne-Rhone-Alpes,Compost,compost,,,,"",A. Richaud,A. Richaud,2013-11-10,""
JU2592,plu5.6,20170531,JU,48.628558,-2.403836,Rural_garden,Brittany,Rotting_nut/pod/seed/fruit,"rotting fruit, peach",,,,"",L. Frezal,L. Frezal,2013-11-11,""
JU2610,Wy5.2,20170531,JU,49.1075,1.7915,Agricultural_land,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"","M.-A. Felix, S. Marsh",M.-A. Felix,2013-11-20,""
JU2800,Ca4.1,20170531,JU,48.79,2.331,Urban_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, pear",,,,"",M. Casado,M.-A. Felix,2014-09-01,""
JU2811,Syd2.2,20170531,JU,-33.8632,151.219453,Botanical_garden_or_zoo,New South Wales,Rotting_nut/pod/seed/fruit,rotting ficus fruit,,,,"",S. Marsh,S. Marsh,2014-09-24,""
JU2838,Puebla2,20170531,JU,20.205961,-97.98832,"",Puebla,Rotting_nut/pod/seed/fruit,"rotting fruit, orange",,,,"",A. VargasVelazquez,A. VargasVelazquez,2015-01-01,1300 m elevation
JU2866,U4.6,20170531,JU,34.0751,-118.4409,Botanical_garden_or_zoo,California,Rotting_nut/pod/seed/fruit,"rotting fruit, unidentified",,,,"",M.-A. Felix,M.-A. Felix,2015-06-28,""
JU2879,Apple-Mexico,20170531,JU,19.29732,-99.098769,Botanical_garden_or_zoo,Mexico City,Rotting_nut/pod/seed/fruit,"rotting fruit, apple in green house",,,,"",A. VargasVelazquez,A. VargasVelazquez,2015-07-02,2400 m elevation
JU2906,F10.3,20170531,JU,43.8023,11.2806,Urban_garden,Tuscany,Rotting_stem,rotting stems,,,,"",M.-A. Felix,M.-A. Felix,2015-12-13,""
JU310,LB14.10,20160408,JU,46.63,1.06,Rural_garden,Centre,Compost,compost heap,,,,"",M.-A. Felix,M.-A. Felix,2002-08-25,"Le Blanc, Indre, France - vegetable garden compost pile, 25 Aug 02."
JU3127,S9.1,20170531,JU,38.11196,13.37274,Botanical_garden_or_zoo,Sicily,Rotting_nut/pod/seed/fruit,"rotting fruit, banana stems",,,,"",M.-A. Felix,M.-A. Felix,2016-04-20,""
JU3128,S18.1,20170531,JU,37.076,15.2763,Urban_garden,Sicily,Rotting_nut/pod/seed/fruit,"rotting fruit, oranges",,,,"",M.-A. Felix,M.-A. Felix,2016-04-23,""
JU3132,O695.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2011-10-10,""
JU3134,O949.1,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2011-11-11,""
JU3135,O1126.8,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2013-10-29,""
JU3137,O1183.5,20170531,JU,48.7015,2.1725,Rural_garden,Ile-de-France,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M.-A. Felix,M.-A. Felix,2014-10-20,""
JU3141,"",20180413,JU,48.71,-3.81,Rural_garden,Brittany,Rotting_stem,rotting stems,,,,"",M.-A. Felix,M.-A. Felix,2009-08-09,""
JU3144,C3.4,20170531,JU,6.18,10.52,Forest,Northwest,Vegetal_litter/mix,rotting leaves,,,,"",J. David,M.-A. Felix,2016-05-01,""
JU3224,JoNZ1.5,20180413,JU,-41.296186,174.784857,Urban_garden,Wellington,Rotting_nut/pod/seed/fruit,Ficus carica fruits,,,,"",J. Ewbank,M.-A. Felix,2017-04-01,"Isolated from rotting Ficus carica fruits sampled in April 2017 by J. Ewbank in Wellington, New Zealand. GPS -41.296186,174.784857. Same tree as JU3225."
JU3225,NaNZ3.1,20180413,JU,-41.296186,174.784857,Urban_garden,Wellington,Rotting_nut/pod/seed/fruit,Ficus carica fruits,,,,"",N. Pujol,M.-A. Felix,2017-04-02,"Isolated from rotting Ficus carica fruits sampled in April 2017 by N. Pujol in Wellington, New Zealand. GPS -41.296186,174.784857. Same tree as JU3224, a few days later."
JU3228,NaNZ10.1,20180413,JU,-39.02256,175.71458,Rural_garden,Waikato,Vegetal_litter/mix,Phormium leaves,,,,"",N. Pujol,M.-A. Felix,2017-04-05,"Isolated from rotting Phormium leaves sampled in April 2017 by N. Pujol in Opotaka, Te Ponanga Saddle Rd, Otukou, New Zealand. -39.02256, 175.71458"
JU323,D3.1,20160408,JU,44.42,4.4,Rural_garden,Rhone-Alpes,"","",,,,"",M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Helix snail #3 on the trunk of a mulberry tree (not the same snail as JU322)."
JU3280,CZ22.2,20180413,JU,50.07182,14.42333,Botanical_garden_or_zoo,Prague,Compost,"leaves,walnuts and horse chestnuts",,,,"",M.-A. Felix,M.-A. Felix,2017-09-24,"Isolated from compost heap with leaves,walnuts and horse chestnuts sampled by MAF in the Botanical Garden of the University of Prague, Czech Republic"
JU3291,ZT051,20180413,JU,48.7679,2.70719,Forest,Ile-de-France,Rotting_stem,Petasites,,,,"",M.-A. Felix,R. Luallen,2017-10-08,"Forest of Armainvilliers, France"
JU346,G1.5,20160408,JU,44.42,4.4,Rural_garden,Languedoc-Roussillon,Arthropod,"live arthropod, Glomeris",,,,"",M.-A. Felix,M.-A. Felix,2002-09-08,"Merlet, Lagorce (Ardèche), France. 8 Sep 02. From a Glomeris myriapod in the compost pile (same myriapod as JU342, JU343, JU344)."
JU367,PB3.1,20160408,JU,48.98,2.23,Urban_garden,Ile-de-France,Compost,compost heap,,,,"",C. Pieau,M.-A. Felix,2002-09-16,"Franconville (Val d’Oise), France. Compost heap in Claude Pieau’s garden, 16 Sept 02."
JU4047,"",20210121,JU,22.33305,103.87154,Rural_garden,"Sapa area, Vietnam",Rotting_stem,"rotting stem, banana",,,,"",M.-A. Felix,M.-A. Felix,2019-11-30,""
JU4098,"",20210121,JU,11.98,108.406,Agricultural_land,"Dalat area, Vietnam",Rotting_stem,"rotting stem, banana",,,,"",M.-A. Felix,M.-A. Felix,2019-12-05,""
JU774,P6P2,20160408,JU,38.683,-9.34,Urban_garden,Lisbon,Compost,garden garbage left on pavement,,,,"",M.-A. Felix,M.-A. Felix,2005-07-10,""
JU775,P8D1,20160408,JU,38.7175,-9.1486,Botanical_garden_or_zoo,Lisbon,Rotting_nut/pod/seed/fruit,red fruits rottening on the ground below a tree,,,,"",M.-A. Felix,M.-A. Felix,2005-07-10,"Isolated in the Botanical Garden, Lisbon, Portugal"
JU778,P12B4,20160408,JU,38.719,-9.1491,Botanical_garden_or_zoo,Lisbon,Rotting_nut/pod/seed/fruit,fruits rottening on the ground below a Ficus isophlebia tree,,,,"",M.-A. Felix,M.-A. Felix,2005-07-10,"Isolated in the Botanical Garden, Lisbon, Portugal"
JU792,F2A1,20160408,JU,43.06,0.24,Rural_garden,Midi-Pyrenees,Compost,compost heap  at the bottom of a garden,,,,"",M.-A. Felix,M.-A. Felix,2005-08-31,""
KR314,"",20160408,CGC,49.28,-123.13,Urban_garden,British Columbia,Rotting_nut/pod/seed/fruit,decaying avocado,,,,"",F. Dill,F. Dill,1984-05-01,""
LKC34,"",20160408,CGC,-18,46,"",Antananarivo Province,Rotting_nut/pod/seed/fruit,"rotting seed, Dypsis baronii",,,,"",V. Stowell,V. Stowell,2005-06-17,""
MY1,"",20160408,MY,52.54,7.31,Urban_garden,Niedersachsen,Compost,compost heap,,,,"",H. Schulenburg,H. Schulenburg,2002-07-01,""
MY16,"",20160408,CGC,51.93,7.57,Urban_garden,North Rhine-Westphalia,Compost,compost heap,,,,"",H. Schulenburg,H. Schulenburg,2002-07-01,""
MY2453,"",20170531,MY,51.950777,7.536628,Rural_garden,North Rhine-Westphalia,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2012-11-07,""
MY2530,"",20170531,MY,54.346355,10.117737,Botanical_garden_or_zoo,Schleswig-Holstein,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2012-12-05,""
MY2535,"",20170531,MY,51.950723,7.599099,Rural_garden,North Rhine-Westphalia,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2012-12-05,""
MY2585,"",20170531,MY,54.346355,10.117737,Botanical_garden_or_zoo,Schleswig-Holstein,Compost,compost heap,,,,"",C. Petersen,C. Petersen,2012-12-10,""
MY2693,"",20170531,MY,54.3491,10.11505,Botanical_garden_or_zoo,Schleswig-Holstein,Mollusk,slug,,,,"",R. Hermann,R. Hermann,2013-08-15,""
MY2741,"",20170531,MY,54.3491,10.11505,Botanical_garden_or_zoo,Schleswig-Holstein,Mollusk,slug,,,,"",C. Petersen,C. Petersen,2014-09-01,""
