strain,previous_names,caendr_release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,sampled_by,isolated_by,sampling_date,notes
AB1,"",20160408,CGC,-34.93,138.59,"",South Australia,Soil,soil under rotting vegetation,,,,"","D. Riddle, A. Bird","D. Riddle, A. Bird",1983-01-01,Tc1 pattern VII
BRC20263,"",20170531,BRC,-33.86748611,151.2069889,"",New South Wales,"","",,,,"","C. Lee, N. Chang",J.-C. Hsu,2014-08-04,""
CB4854,GA9,20160408,CGC,34.189,-118.131,Urban_garden,California,Vegetal_litter/mix,vegetable garden,,,,"",C. Johnson,C. Johnson,1973-12-01,"CGC says Isolated in May 1974 from vegetable garden on Garfias St, Altadena, California USA, Noted as identical to CB3198 by Hodgkin and Doniach. Hodgkin and Doniach say isolated December 1973"
CB4856,CB4856_(CGC_#3)|CB4856_CGC_3|CB4856_CGC|CB4856,20160408,CGC,21.33,-157.86,Rural_garden,Hawaii,Rotting_nut/pod/seed/fruit,pineapple field,,,,"",L. Hollen,L. Hollen,1972-08-01,Isolated from an unknown Hawaiian island pineapple field
CX11264,HEY-034,20160408,CX,34.130138,-118.114835,Botanical_garden_or_zoo,California,Soil,soil,,,,"",A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Huntington Gardens, exact location in garden is unknown"
CX11271,HEY-050,20160408,CX,34.13712,-118.12532,Urban_garden,California,Soil,soil,,,,"",A. Sivasundar,A. Sivasundar,2003-09-01,"isolated at California Institue of Technology, exact location at CalTech is unknown"
CX11276,HEY-056,20160408,CX,34.20111,-118.21198,Botanical_garden_or_zoo,California,Soil,soil,,,,"",A. Sivasundar,A. Sivasundar,2003-09-01,1783
CX11292,HEY-016,20160408,CX,34.13531,-118.30582,Urban_garden,California,Soil,soil,,,,"",A. Sivasundar,A. Sivasundar,2004-02-01,"isolated in Griffith Park, exact location in park is unknown"
CX11314,HEY-036,20160408,CX,34.12946,-118.10987,Urban_garden,California,Soil,soil,,,,"",A. Sivasundar,A. Sivasundar,2003-09-01,"isolated in Huntington Gardens, exact location in garden is unknown"
DL226,"",20160408,DL,44.5633,-123.2821,Urban_garden,Oregon,Soil,leaf litter/soil on Oregon State campus,,,,"",C. Hilburn,C. Hilburn,2008-01-01,""
DL238,"",20160408,DL,19.11,-155.81,Forest,Hawaii,Vegetal_litter/mix,leaves on side of hiking path at Manuka State Park,,,,"",J. Knapp,J. Knapp,2008-07-15,""
ECA1069,"",20200815,ECA,-34.89411879,-56.15794301,Urban_garden,"Montevideo, Uruguay",Rotting_nut/pod/seed/fruit,small rotting fruits (on ground),,,,"","U. Koziol, C. Martinez",B. Rodriguez,2018-05-20,""
ECA1074,"",20200815,ECA,-34.89623486,-56.15625241,Urban_garden,"Montevideo, Uruguay",Rotting_nut/pod/seed/fruit,rotting banana (on ground),,,,"","U. Koziol, C. Martinez",B. Rodriguez,2018-05-22,""
EG4724,"",20160408,EG,41.6288,-8.3476,Agricultural_land,Braga,Rotting_nut/pod/seed/fruit,"rotting fruit, apple",,,,"",M. Ailion,M. Ailion,2007-03-28,""
ECA248,CB4855_(UK)|CB4855_UK|CB4855|Cal-5|Sta-5,20160408,CB,37.44,-122.14,Urban_garden,California,Compost,compost heap,,,,"",T. Doniach,"",1982-01-01,"Low copy Tc1, pattern VI"
ECA250,CB4857_(UK)|CB4857_UK|Cl2a,20160408,CB,34.096,-117.719,"",California,Fungus,rotting mushroom,,,,"",E. Hedgecock,"",1972-11-01,"Low copy Tc1, pattern II"
ECA2546,S-12454,20210121,ECA,-38.15055556,144.3788889,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",15.5,17.4,69.7,"",L. Stevens,C. Buchanan,2020-02-20,Fulcrum collection 2020FebruaryAustralia
ECA2549,S-12485,20210121,ECA,-37.8699364,144.9838814,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",18,21.5,62.5,"",L. Stevens,C. Buchanan,2020-02-22,Fulcrum collection 2020FebruaryAustralia
ECA2551,S-12487,20210121,ECA,-37.8699364,144.9838814,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",18,21.5,62.5,"",L. Stevens,C. Buchanan,2020-02-22,Fulcrum collection 2020FebruaryAustralia
ECA2554,S-12611,20210121,ECA,-37.8700328,144.983856,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",18,22.2,59.5,"",L. Stevens,C. Buchanan,2020-02-22,Fulcrum collection 2020FebruaryAustralia
ECA2555,S-12743,20210121,ECA,-37.8700328,144.983856,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",18,22.2,59.5,"",L. Stevens,C. Buchanan,2020-02-22,Fulcrum collection 2020FebruaryAustralia
ECA2559,S-12809,20210121,ECA,-37.87,144.9836111,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",17.8,22.2,60.9,"",L. Stevens,C. Buchanan,2020-02-22,Fulcrum collection 2020FebruaryAustralia
ECA2561,S-12856,20210121,ECA,-37.8269983,144.9798563,Botanical_garden_or_zoo,"",Rotting_flower,"",22.3,26.2,58.5,"",E. Andersen,C. Buchanan,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2583,S-13023,20210121,ECA,-38.15,144.3788889,Botanical_garden_or_zoo,"",Rotting_flower,"",18.7,18.8,67.6,"",L. Stevens,N. Roberto,2020-02-20,Fulcrum collection 2020FebruaryAustralia
ECA259,PB306_CGC|PB306,20160408,CGC,,,"","",Arthropod,"live arthropod, Porcellio scaber",,,,"",S. Baird,S. Baird,1998-11-28,Porcellio scaber obtained from Connecticut Valley Biological Supply
ECA2595,S-13069,20210121,ECA,-37.83277778,144.9797222,Botanical_garden_or_zoo,"",Rotting_flower,"",22.1,27.6,54.1,"",L. Stevens,L. Stevens,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2601,S-13100,20210121,ECA,-37.8223566,144.9736758,Botanical_garden_or_zoo,"",Vegetal_litter/mix,Under previous sample,21.5,25.6,59.1,"",E. Andersen,L. Stevens,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2602,S-13117,20210121,ECA,-37.82222222,144.9736111,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",22.2,26.2,56.9,"",L. Stevens,C. Buchanan,2020-02-16,Fulcrum collection 2020FebruaryAustralia
ECA2603,S-13132,20210121,ECA,-37.82222222,144.9736111,Botanical_garden_or_zoo,"",Rotting_nut/pod/seed/fruit,"",22.2,26.2,56.9,"",L. Stevens,C. Buchanan,2020-02-16,Fulcrum collection 2020FebruaryAustralia
