drug,concentration_um,type,class,big_class,nice_drug_label,nice_drug_label2,concentration_notes,toxicant,cas,cat_num,source,storage_temp,stock_mM,diluent,DTXSID,PREFERRED_NAME,CASRN,trait,moa_class,moa_unique_class,moa_notes,moa_refs,short_moa_class
Copper chloride,100,Toxicant,Metal,Metal,Copper chloride,Copper,"",Copper chloride,7447394,751944-25G,sigma,-20,500,Water,DTXSID7040449,Copper(II) chloride,7447-39-4,length_Copper_chloride,Redox cycling,"",Better citations for Redox cycling,"Gaetke,L.M., Chow-Johnson,H.S. and Chow,C.K. (2014) Copper: toxicological relevance and mechanisms. Arch. Toxicol., 88, 1929–1938.
",Redox
Lead nitrate,49.74,Toxicant,Metal,Metal,Lead nitrate,Lead,"",Lead (II) nitrate,10099748,228621-100G,sigma,-20,500,Water,DTXSID2035069,Lead nitrate,10099-74-8,length_Lead_nitrate,Multiple mechanisms,"","Although most toxicants exert multiple downstream effects, lead lacks a single dominant initiating interaction and causes toxicity through several competing mechanisms including, calcium mimicry, enzyme inhibition, and mitochondrial disruption, which necessitates a “multi-mechanistic” classification.","Generalova,A., Davidova,S. and Satchanska,G. (2025) The mechanisms of lead toxicity in living organisms. J. Xenobiot., 15, 146.
",Multiple
Malathion,790.12,Toxicant,Organophosphate Insecticide,Insecticide,Malathion,Malathion,"",Malathion,121755,36143-100MG,sigma,-20,1200,DMSO,DTXSID4020791,Malathion,121-75-5,length_Malathion,AChE inhibition,"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
",AChE
Mancozeb,102.4,Toxicant,Fungicide,Fungicide,Mancozeb,Mancozeb,Calculated concentration from doseCheck_processed_data is 65.5uM ,Mancozeb,8018017,45553-100MG,sigma,-20,75,DMSO,DTXSID0034695,Mancozeb,1/7/18,length_Mancozeb,Thiol binding,"",Found paper citing MoA of Mancozeb,"Roede,J.R. and Jones,D.P. (2014) Thiol-reactivity of the fungicide maneb. Redox Biol., 2, 651–655.",Thiol
Methomyl,50,Toxicant,Carbamate Insecticide,Insecticide,Methomyl,Methomyl,"",Methomyl,16752775,36159-100MG,sigma,-20,1000,DMSO,DTXSID1022267,Methomyl,16752-77-5,length_Methomyl,AChE inhibition,"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
",AChE
Methyl mercury,15.62,Toxicant,Metal,Metal,Methyl mercury,Mercury,Calculated concentration from from doseCheck_processed_data is 16.22uM 4% diff ,Methylmercury dichloride,115093,442534-5G-A,sigma,-20,150,DMSO,DTXSID5020813,Methylmercuric(II) chloride,115-09-3,length_Methyl_mercury,Thiol binding,"",Newer review best interval,"Kang,B., Wang,J., Guo,S. and Yang,L. (2024) Mercury-induced toxicity: Mechanisms, molecular pathways, and gene regulation. Sci. Total Environ., 943, 173577.

",Thiol
Nickel dichloride,100,Toxicant,Metal,Metal,Nickel dichloride,Nickel,"",Nickel dichloride,7718549,339350-50G,sigma,-20,2500,Water,DTXSID7040316,Nickel chloride,7718-54-9,length_Nickel_dichloride,Other,Competitive inhibition of metal-dependent enzymes,"Many possible routes that are context dependent. Competes with other Iorn and other cofactors, inhibits metal-dependent enzymes","Macomber,L. and Hausinger,R.P. (2011) Mechanisms of nickel toxicity in microorganisms. Metallomics, 3, 1153–1162.
",Other
Paraquat_62.5,62.5,Toxicant,Herbicide,Herbicide,Paraquat 62.5uM,Paraquat 62.5 uM,"",Paraquat,1910425,856177-1G,sigma,-20,1500,Water,DTXSID7024243,Paraquat dichloride,1910-42-5,length_Paraquat_62_5,Redox cycling,"","","Bus,J.S., Cagen,S.Z., Olgaard,M. and Gibson,J.E. (1976) A mechanism of paraquat toxicity in mice and rats. Toxicol. Appl. Pharmacol., 35, 501–513.
",Redox
Paraquat_250,250,Toxicant,Herbicide,Herbicide,Paraquat 250uM,Paraquat 250 uM,"",Paraquat,1910425,856177-1G,sigma,-20,1500,Water,DTXSID7024243,Paraquat dichloride,1910-42-5,length_Paraquat_250,Redox cycling,"","","Bus,J.S., Cagen,S.Z., Olgaard,M. and Gibson,J.E. (1976) A mechanism of paraquat toxicity in mice and rats. Toxicol. Appl. Pharmacol., 35, 501–513.
",Redox
Propoxur,195.09,Toxicant,Carbamate Insecticide,Insecticide,Propoxur,Propoxur,"",Propoxur,114261,45644-250MG,sigma,-20,1500,DMSO,DTXSID7021948,Propoxur,114-26-1,length_Propoxur,AChE inhibition,"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
",AChE
Pyraclostrobin,93.75,Toxicant,Fungicide,Fungicide,Pyraclostrobin,Pyraclostrobin,"",Pyraclostrobin,175013180,33696-100MG-R,sigma,-20,500,DMSO,DTXSID7032638,Pyraclostrobin,175013-18-0,length_Pyraclostrobin,Oxidative phosphorylation inhibition (OXPHOS inhibition),"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
",OXPHOS
Silver nitrate_250,250,Toxicant,Metal,Metal,Silver nitrate 250uM,Silver 250 uM,"",Silver nitrate,7761888,S6506-5G,sigma,-20,100,Water,DTXSID3032042,Silver nitrate,7761-88-8,length_Silver_nitrate_250,Thiol binding,"",also mito dysfunction through ETC inhibition.,"Holt,K.B. and Bard,A.J. (2005) Interaction of silver(I) ions with the respiratory chain of Escherichia coli: an electrochemical and scanning electrochemical microscopy study of the antimicrobial mechanism of micromolar Ag+. Biochemistry, 44, 13214–13223.
",Thiol
Silver nitrate_7.8,7.8,Toxicant,Metal,Metal,Silver nitrate 7.8uM,Silver 7.8 uM,"",Silver nitrate,7761888,S6506-5G,sigma,-20,100,Water,DTXSID3032042,Silver nitrate,7761-88-8,length_Silver_nitrate_7_8,Thiol binding,"",also mito dysfunction through ETC inhibition.,"Holt,K.B. and Bard,A.J. (2005) Interaction of silver(I) ions with the respiratory chain of Escherichia coli: an electrochemical and scanning electrochemical microscopy study of the antimicrobial mechanism of micromolar Ag+. Biochemistry, 44, 13214–13223.
",Thiol
Triphenyl phosphate_6.25,6.25,Toxicant,Flame Retardant,Flame Retardant,Triphenyl phosphate 6.25uM,TPhP 6.25 uM,"",Triphenyl phosphate,115866,241288-50G,sigma,-20,100,DMSO,DTXSID1021952,Triphenyl phosphate,115-86-6,length_Triphenyl_phosphate_6_25,Other,Serine hydrolase inhibition,inhibits carboxylesterases Morris et al. (2014). inhibits NPA deacetylases Richardson et al. (2013) - From,"Yao,C., Yang,H. and Li,Y. (2021) A review on organophosphate flame retardants in the environment: Occurrence, accumulation, metabolism and toxicity. Sci. Total Environ., 795, 148837.
",Other
Triphenyl phosphate_50,50,Toxicant,Flame Retardant,Flame Retardant,Triphenyl phosphate 50uM,TPhP 50 uM,"",Triphenyl phosphate,115866,241288-50G,sigma,-20,100,DMSO,DTXSID1021952,Triphenyl phosphate,115-86-6,length_Triphenyl_phosphate_50,Other,Serine hydrolase inhibition,inhibits carboxylesterases Morris et al. (2014). inhibits NPA deacetylases Richardson et al. (2013) - From,"Yao,C., Yang,H. and Li,Y. (2021) A review on organophosphate flame retardants in the environment: Occurrence, accumulation, metabolism and toxicity. Sci. Total Environ., 795, 148837.
",Other
Zinc dichloride,50,Toxicant,Metal,Metal,Zinc dichloride,Zinc,"",Zinc dichloride,7646857,229997-10G,sigma,-20,1000,Water,DTXSID2035013,Zinc chloride,7646-85-7,length_Zinc_dichloride,Other,Metal homeostasis disruption,"","Plum,L.M., Rink,L. and Haase,H. (2010) The essential toxin: impact of zinc on human health. Int. J. Environ. Res. Public Health, 7, 1342–1365.
",Other
