toxicant,cas,cat_num,source,storage_temp,stock_mM,diluent,DTXSID,PREFERRED_NAME,CASRN,drug,nice_drug_label2,nice_drug_label,concentration_um,class,big_class,trait,moa_class,moa_unique_class,moa_notes,moa_refs
Mancozeb,8018017,45553-100MG,sigma,-20,75,DMSO,DTXSID0034695,Mancozeb,1/7/18,Mancozeb,Mancozeb,Mancozeb,102.4,Fungicide,Fungicide,length_Mancozeb,Thiol binding,"",Found paper citing MoA of Mancozeb,"Roede,J.R. and Jones,D.P. (2014) Thiol-reactivity of the fungicide maneb. Redox Biol., 2, 651–655."
Methomyl,16752775,36159-100MG,sigma,-20,1000,DMSO,DTXSID1022267,Methomyl,16752-77-5,Methomyl,Methomyl,Methomyl,50,Carbamate Insecticide,Insecticide,length_Methomyl,AChE inhibition,"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Methylmercury dichloride,115093,442534-5G-A,sigma,-20,150,DMSO,DTXSID5020813,Methylmercuric(II) chloride,115-09-3,Methyl mercury,Mercury,Methyl mercury,15.62,Metal,Metal,length_Methyl_mercury,Thiol binding,"",Newer review best interval,"Kang,B., Wang,J., Guo,S. and Yang,L. (2024) Mercury-induced toxicity: Mechanisms, molecular pathways, and gene regulation. Sci. Total Environ., 943, 173577.

"
Nickel dichloride,7718549,339350-50G,sigma,-20,2500,Water,DTXSID7040316,Nickel chloride,7718-54-9,Nickel dichloride,Nickel,Nickel dichloride,100,Metal,Metal,length_Nickel_dichloride,Other,Competitive inhibition of metal-dependent enzymes,"Many possible routes that are context dependent. Competes with other Iorn and other cofactors, inhibits metal-dependent enzymes","Macomber,L. and Hausinger,R.P. (2011) Mechanisms of nickel toxicity in microorganisms. Metallomics, 3, 1153–1162.
"
Paraquat,1910425,856177-1G,sigma,-20,1500,Water,DTXSID7024243,Paraquat dichloride,1910-42-5,Paraquat_62.5,Paraquat 62.5 uM,Paraquat 62.5uM,62.5,Herbicide,Herbicide,length_Paraquat_62_5,Redox cycling,"","","Bus,J.S., Cagen,S.Z., Olgaard,M. and Gibson,J.E. (1976) A mechanism of paraquat toxicity in mice and rats. Toxicol. Appl. Pharmacol., 35, 501–513.
"
Paraquat,1910425,856177-1G,sigma,-20,1500,Water,DTXSID7024243,Paraquat dichloride,1910-42-5,Paraquat_250,Paraquat 250 uM,Paraquat 250uM,250,Herbicide,Herbicide,length_Paraquat_250,Redox cycling,"","","Bus,J.S., Cagen,S.Z., Olgaard,M. and Gibson,J.E. (1976) A mechanism of paraquat toxicity in mice and rats. Toxicol. Appl. Pharmacol., 35, 501–513.
"
Propoxur,114261,45644-250MG,sigma,-20,1500,DMSO,DTXSID7021948,Propoxur,114-26-1,Propoxur,Propoxur,Propoxur,195.09,Carbamate Insecticide,Insecticide,length_Propoxur,AChE inhibition,"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Pyraclostrobin,175013180,33696-100MG-R,sigma,-20,500,DMSO,DTXSID7032638,Pyraclostrobin,175013-18-0,Pyraclostrobin,Pyraclostrobin,Pyraclostrobin,93.75,Fungicide,Fungicide,length_Pyraclostrobin,Oxidative phosphorylation inhibition (OXPHOS inhibition),"",This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Silver nitrate,7761888,S6506-5G,sigma,-20,100,Water,DTXSID3032042,Silver nitrate,7761-88-8,Silver nitrate_250,Silver 250 uM,Silver nitrate 250uM,250,Metal,Metal,length_Silver_nitrate_250,Thiol binding,"",also mito dysfunction through ETC inhibition.,"Holt,K.B. and Bard,A.J. (2005) Interaction of silver(I) ions with the respiratory chain of Escherichia coli: an electrochemical and scanning electrochemical microscopy study of the antimicrobial mechanism of micromolar Ag+. Biochemistry, 44, 13214–13223.
"
Silver nitrate,7761888,S6506-5G,sigma,-20,100,Water,DTXSID3032042,Silver nitrate,7761-88-8,Silver nitrate_7.8,Silver 7.8 uM,Silver nitrate 7.8uM,7.8,Metal,Metal,length_Silver_nitrate_7_8,Thiol binding,"",also mito dysfunction through ETC inhibition.,"Holt,K.B. and Bard,A.J. (2005) Interaction of silver(I) ions with the respiratory chain of Escherichia coli: an electrochemical and scanning electrochemical microscopy study of the antimicrobial mechanism of micromolar Ag+. Biochemistry, 44, 13214–13223.
"
Triphenyl phosphate,115866,241288-50G,sigma,-20,100,DMSO,DTXSID1021952,Triphenyl phosphate,115-86-6,Triphenyl phosphate_6.25,TPhP 6.25 uM,Triphenyl phosphate 6.25uM,6.25,Flame Retardant,Flame Retardant,length_Triphenyl_phosphate_6_25,Other,Serine hydrolase inhibition,inhibits carboxylesterases Morris et al. (2014). inhibits NPA deacetylases Richardson et al. (2013) - From,"Yao,C., Yang,H. and Li,Y. (2021) A review on organophosphate flame retardants in the environment: Occurrence, accumulation, metabolism and toxicity. Sci. Total Environ., 795, 148837.
"
Triphenyl phosphate,115866,241288-50G,sigma,-20,100,DMSO,DTXSID1021952,Triphenyl phosphate,115-86-6,Triphenyl phosphate_50,TPhP 50 uM,Triphenyl phosphate 50uM,50,Flame Retardant,Flame Retardant,length_Triphenyl_phosphate_50,Other,Serine hydrolase inhibition,inhibits carboxylesterases Morris et al. (2014). inhibits NPA deacetylases Richardson et al. (2013) - From,"Yao,C., Yang,H. and Li,Y. (2021) A review on organophosphate flame retardants in the environment: Occurrence, accumulation, metabolism and toxicity. Sci. Total Environ., 795, 148837.
"
Zinc dichloride,7646857,229997-10G,sigma,-20,1000,Water,DTXSID2035013,Zinc chloride,7646-85-7,Zinc dichloride,Zinc,Zinc dichloride,50,Metal,Metal,length_Zinc_dichloride,Other,Metal homeostasis disruption,"","Plum,L.M., Rink,L. and Haase,H. (2010) The essential toxin: impact of zinc on human health. Int. J. Environ. Res. Public Health, 7, 1342–1365.
"
