prep_tox_name,tox_names,pub_name
"2,4-D","2,4-D","2,4-Dichlorophenoxyacetic acid (2,4-D)"
Aldicarb,Aldicarb,Aldicarb
Arsenic,Arsenic trioxide,Arsenic trioxide
Atrazine,Atrazine,Atrazine
Cadmium dichloride,Cadmium dichloride,Cadmium dichloride
Carbaryl,Carbaryl,Carbaryl
Carboxin,Carboxin,Carboxin
Chlorfenapyr,Chlorfenapyr,Chlorfenapyr
Chlorothalonil,Chlorothalonil,Chlorothalonil
Chlorpyrifos,Chlorpyrifos,Chlorpyrifos
Copper chloride,Copper chloride,Copper(II) chloride
Lead (II) nitrate,Lead (II) nitrate,Lead(II) nitrate
Malathion,Malathion,Malathion
Mancozeb,Mancozeb,Mancozeb
Methomyl,Methomyl,Methomyl
Methylmercury dichloride,Methyl mercury,Methylmercury dichloride
Nickel dichloride,Nickel dichloride,Nickel dichloride
Paraquat,Paraquat,Paraquat
Propoxur,Propoxur,Propoxur
Pyraclostrobin,Pyraclostrobin,Pyraclostrobin
Silver nitrate,Silver,Silver nitrate
Triphenyl phosphate,Triphenyl,Triphenyl phosphate
Zinc dichloride,Zinc dichloride,Zinc dichloride
