drug,MoA_broad,MoA_specific,molecular_target,further_MoA_info,moa_class,RJM Designation,RJM Designation Notes,TAC moa_broad_class,TAC moa_unique_class,TAC notes,TAC refs
Lead nitrate,Heme metabolism,Heme synthesis inhibition,Porphobilinogen synthase and ferrochelatase,,Redox disruption,Non-specific enzymne inhibition,Need to find literature to support request from reviewer,Multiple mechanisms,,"Although most toxicants exert multiple downstream effects, lead lacks a single dominant initiating interaction and causes toxicity through several competing mechanisms including, calcium mimicry, enzyme inhibition, and mitochondrial disruption, which necessitates a “multi-mechanistic” classification.","Generalova,A., Davidova,S. and Satchanska,G. (2025) The mechanisms of lead toxicity in living organisms. J. Xenobiot., 15, 146.
"
Malathion,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,AChE inhibition,AChE inhibition,,AChE inhibition,,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Mancozeb,,,,,AChE inhibition,Non-specific enzymne inhibition,Cite literature provided by reviewer and more recent studies in C. elegans,Thiol binding,,Found paper citing MoA of Mancozeb,"Roede,J.R. and Jones,D.P. (2014) Thiol-reactivity of the fungicide maneb. Redox Biol., 2, 651–655."
Methomyl,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,AChE inhibition,AChE inhibition,,AChE inhibition,,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Methyl mercury,unknown,n/a,n/a,,Redox disruption,Redox disruption,Not in Kramer Cited Literature in Results section 2.4,Thiol binding,,Newer review best interval,"Kang,B., Wang,J., Guo,S. and Yang,L. (2024) Mercury-induced toxicity: Mechanisms, molecular pathways, and gene regulation. Sci. Total Environ., 943, 173577.

"
Nickel dichloride,unknown,n/a,n/a,,Other|unknown,Other|unknown,,Other,Competitive inhibition of metal-dependent enzymes,"Many possible routes that are context dependent. Competes with other Iorn and other cofactors, inhibits metal-dependent enzymes","Macomber,L. and Hausinger,R.P. (2011) Mechanisms of nickel toxicity in microorganisms. Metallomics, 3, 1153–1162.
"
Paraquat_62.5,,,,,Redox disruption,Redox disruption,Not in Kramer Cited Literature in Results section 2.4,Redox cycling,,,"Bus,J.S., Cagen,S.Z., Olgaard,M. and Gibson,J.E. (1976) A mechanism of paraquat toxicity in mice and rats. Toxicol. Appl. Pharmacol., 35, 501–513.
"
Paraquat_250,,,,,Redox disruption,Redox disruption,Not in Kramer Cited Literature in Results section 2.4,Redox cycling,,,"Bus,J.S., Cagen,S.Z., Olgaard,M. and Gibson,J.E. (1976) A mechanism of paraquat toxicity in mice and rats. Toxicol. Appl. Pharmacol., 35, 501–513.
"
Propoxur,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,AChE inhibition,AChE inhibition,,AChE inhibition,,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Pyraclostrobin,Respiratory system,Coenzyme Q inhibition,Mitochondrial complex III (Quinol outer binding site of Coenzyme Q (cyt b gene)),electron transport inhibition,Redox disruption,Mitochondrial Dysfunction,,Oxidative phosphorylation inhibition (OXPHOS inhibition),,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Silver nitrate_250,,,,,Other|unknown,Non-specific enzymne inhibition,Need to find literature to support request from reviewer,Thiol binding,,also mito dysfunction through ETC inhibition.,"Holt,K.B. and Bard,A.J. (2005) Interaction of silver(I) ions with the respiratory chain of Escherichia coli: an electrochemical and scanning electrochemical microscopy study of the antimicrobial mechanism of micromolar Ag+. Biochemistry, 44, 13214–13223.
"
Silver nitrate_7.8,,,,,Other|unknown,Non-specific enzymne inhibition,Need to find literature to support request from reviewer,Thiol binding,,also mito dysfunction through ETC inhibition.,"Holt,K.B. and Bard,A.J. (2005) Interaction of silver(I) ions with the respiratory chain of Escherichia coli: an electrochemical and scanning electrochemical microscopy study of the antimicrobial mechanism of micromolar Ag+. Biochemistry, 44, 13214–13223.
"
Triphenyl phosphate_6.25,"Endocrine, Neuroactive","Estrogen receptor agonist, Androgen receptor antagonist, Glucocorticoid receptor antagonist, Pregnane X receptor agonist","Estrogen receptor, Androgen receptor, Glucocorticoid receptor, Pregnane X receptor",n/a,Other|unknown,Other|unknown,,Other,Serine hydrolase inhibition,inhibits carboxylesterases Morris et al. (2014). inhibits NPA deacetylases Richardson et al. (2013) - From ,"Yao,C., Yang,H. and Li,Y. (2021) A review on organophosphate flame retardants in the environment: Occurrence, accumulation, metabolism and toxicity. Sci. Total Environ., 795, 148837.
"
Triphenyl phosphate_50,"Endocrine, Neuroactive","Estrogen receptor agonist, Androgen receptor antagonist, Glucocorticoid receptor antagonist, Pregnane X receptor agonist","Estrogen receptor, Androgen receptor, Glucocorticoid receptor, Pregnane X receptor",n/a,Other|unknown,Other|unknown,,Other,Serine hydrolase inhibition,inhibits carboxylesterases Morris et al. (2014). inhibits NPA deacetylases Richardson et al. (2013) - From ,"Yao,C., Yang,H. and Li,Y. (2021) A review on organophosphate flame retardants in the environment: Occurrence, accumulation, metabolism and toxicity. Sci. Total Environ., 795, 148837.
"
Zinc dichloride,unknown,n/a,n/a,,Other|unknown,Non-specific enzymne inhibition,Lead MoA data references how Zinc MoA is similar,Other,Metal homeostasis disruption,,"Plum,L.M., Rink,L. and Haase,H. (2010) The essential toxin: impact of zinc on human health. Int. J. Environ. Res. Public Health, 7, 1342–1365.
"
