drug,MoA_broad,MoA_specific,molecular_target,further_MoA_info,moa_class,RJM Designation,RJM Designation Notes,TAC moa_broad_class,TAC moa_unique_class,TAC notes,TAC refs
2_4-D,Synthetic Auxin,"Synthetic Auxin, Ethylene biosynthesis stimulation",n/a,n/a,Other|unknown,Other|unknown,,Other,metabolic & membrane disruption,"negative impact on membrane structure and fluidity -> mitochonrial stress -> ROS -> apoptosis. This MoA for non-target organisms studied in yeast, fish, and mammlian","Chinalia,F.A., Regali-Seleghin,M.H. and Correa,E.M. (2007) 2, 4-D toxicity: cause, effect and control. Terrestrial and Aquatic Environmental Toxicology, 1, 24–33.
"
Aldicarb,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,AChE inhibition,AChE inhibition,,AChE inhibition,,AChE inhibition,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Arsenic trioxide,"Cancerogen, Metabolic system, ATP inhibition","Disruption of ATP production, Lipoic acid inhibition (citric acid cycle), Uncoupler of oxidative phosphorylation",n/a,,Redox disruption,Metabolic inhibitor,,Thiol binding,,"Thiol-reactive toxicants were defined as compounds whose primary mode of action involves high-affinity interactions with protein sulfhydryl groups, leading to non-specific enzyme inhibition and downstream redox imbalance","Hughes,M.F. (2002) Arsenic toxicity and potential mechanisms of action. Toxicol. Lett., 133, 1–16.
"
Atrazine,Photosynthesis inhibition,Photosystem II inhibition,Photosystem II (Plastoquinone-binding protein),"electron transport chain inhibition, potential endocrine disruptor",Redox disruption,Redox disruption,,Oxidative phosphorylation inhibition (OXPHOS inhibition),,Studies in mice and quail show mito dysfunction ,"Lim,S., Ahn,S.Y., Song,I.C., Chung,M.H., Jang,H.C., Park,K.S., Lee,K.-U., Pak,Y.K. and Lee,H.K. (2009) Chronic exposure to the herbicide, atrazine, causes mitochondrial dysfunction and insulin resistance. PLoS One, 4, e5186.
"
Cadmium dichloride,Cancerogen,n/a,n/a,,Redox disruption,Redox disruption,,Thiol binding,,"Strongly inhibits ETC, but through thiol-reactive inhibition, no redox cycling. Best to put as thiol-reactive.","Qu,F. and Zheng,W. (2024) Cadmium exposure: Mechanisms and pathways of toxicity and implications for human health. Toxics, 12, 388.
"
Carbaryl,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,AChE inhibition,AChE inhibition,,AChE inhibition,,,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Carboxin,Respiratory system,Succinate dehydrogenase inhibition,Mitochondrial complex II (Succinate dehydrogenase),"systemic action, can cause developmental toxicity/cardiotoxicity/oxidative stress/reactive oxygen species accumulation in zebrafish embryos",Redox disruption,Metabolic inhibitor,,Oxidative phosphorylation inhibition (OXPHOS inhibition),,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Chlorfenapyr,Respiratory system,Uncoupler of oxidative phosphorylation,n/a,"Electron transport inhibition, disruption of proton gradient",Redox disruption,Redox disruption,,Oxidative phosphorylation inhibition (OXPHOS inhibition),,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Chlorothalonil,Multi-site activity,n/a,n/a,gluthathione deactivation,Redox disruption,Redox disruption,,Thiol binding,,Kramer not best citation,"Tao,H., Fang,C., Xiao,Y. and Jin,Y. (2024) The toxicity and health risk of chlorothalonil to non-target animals and humans: A systematic review. Chemosphere, 358, 142241.
"
Chlorpyrifos,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,AChE inhibition,AChE inhibition,,AChE inhibition,,This is clear,"Kramer,L., Schulze,T., Klüver,N., Altenburger,R., Hackermüller,J., Krauss,M. and Busch,W. (2024) Curated mode-of-action data and effect concentrations for chemicals relevant for the aquatic environment. Sci Data, 11, 60.
"
Copper chloride,"Cell membrane disruption, Photosynthesis inhibition","Lipid peroxidation, Electron transport inhibition",n/a,,Redox disruption,Redox disruption,,Redox cycling,,Better citations for Redox cycling ,"Gaetke,L.M., Chow-Johnson,H.S. and Chow,C.K. (2014) Copper: toxicological relevance and mechanisms. Arch. Toxicol., 88, 1929–1938.
"
