group,group_type,avg_sd,sd_avg_sd
AChE inhibition,MoA,41.5899948885625,16.4405934906598
Oxidative phosphorylation inhibition (OXPHOS inhibition),MoA,41.222455322931,13.6660276396835
Redox cycling,MoA,37.5386181981072,7.61854181379301
Other,MoA,36.1461903425779,17.561921298193
Thiol binding,MoA,34.4793238260108,17.9189773679303
Multiple mechanisms,MoA,19.8697371921976,
Insecticide,Use,43.8673814506641,16.172497914988
Metal,Use,38.2067244277064,19.0713555081279
Herbicide,Use,33.532642333449,5.41517963856507
Flame Retardant,Use,31.5251006677374,8.97448401381535
Fungicide,Use,30.2221600578266,12.1880216901666
