Toxicant,Class,Broad-sense heritability,Broad-sense heritability CI lower,Broad-sense heritability CI upper,Broad-sense heritability CI level,Narrow-sense heritability,Narrow-sense heritability CI lower,Narrow-sense heritability CI upper
TPhP 6.25 µM,Flame Retardant,0.469610010824222,0.403644892166588,0.527305520422403,0.95,0.116877431168565,0.0462373398435174,0.187517522493613
TPhP 50 µM,Flame Retardant,0.660298053479769,0.604499677060827,0.705594634068349,0.95,0.337213830486736,0.239379078273098,0.435048582700374
Group Mean,Flame Retardant,0.564954032151996,0.504072284613707,0.616450077245376,,0.227045630827651,0.142808209058308,0.311283052596993
Mancozeb,Fungicide,0.317908198458621,0.262372315288987,0.371332842091903,0.95,0.162746642402174,0.0876677970957982,0.237825487708551
Chlorothalonil,Fungicide,0.432027791570322,0.370546007008648,0.487440221124472,0.95,0.16496842073924,0.0895346557329054,0.240402185745574
Carboxin,Fungicide,0.473806466706181,0.413205821391411,0.529183547702484,0.95,0.0758151281379338,0.0202238379996761,0.131406418276191
Pyraclostrobin,Fungicide,0.554705046025763,0.49434151590571,0.607464080881123,0.95,0.274189091542334,0.183180242079664,0.365197941005004
Group Mean,Fungicide,0.444611875690222,0.385116414898689,0.498855172949996,,0.169429820705421,0.095151633227011,0.24370800818383
"2,4-D",Herbicide,0.299977559878106,0.244659885494943,0.355637537840441,0.95,0.0361184421564727,-0.00725360929841401,0.0794904936113594
Atrazine,Herbicide,0.470326512332045,0.408561254437611,0.526602528060756,0.95,0.0414395044419298,-0.0032390545951624,0.0861180634790219
Paraquat 62.5 µM,Herbicide,0.622343207638017,0.558065732958139,0.676205026400368,0.95,0.0846452411307918,0.0168350667545152,0.152455415507068
Paraquat 250 µM,Herbicide,0.738028280984618,0.691932015576635,0.776176795755554,0.95,0.506940222978899,0.404495671642683,0.609384774315114
Group Mean,Herbicide,0.532668890208197,0.475804722116832,0.58365547201428,,0.167285852677023,0.102709518625906,0.231862186728141
Propoxur,Insecticide,0.285656484148157,0.231972093265242,0.338305997155424,0.95,0.104431010831012,0.0415120325042661,0.167349989157757
Malathion,Insecticide,0.416405177061187,0.352956136331417,0.474860896557831,0.95,0.214372256393777,0.130809118071372,0.297935394716181
Carbaryl,Insecticide,0.492587986900752,0.430857394717865,0.54791196076185,0.95,0.137085839395335,0.0669198663243578,0.207251812466312
Chlorpyrifos,Insecticide,0.497733858178482,0.432147822484343,0.554942652370835,0.95,0.233599981868901,0.140152460058744,0.327047503679058
Methomyl,Insecticide,0.677109074473622,0.614711629251658,0.728608287651122,0.95,0.433748905756213,0.30680224275359,0.560695568758836
Aldicarb,Insecticide,0.690137362120019,0.639908258403233,0.732375039830836,0.95,0.174127337348513,0.0969444257228386,0.251310248974187
Chlorfenapyr,Insecticide,0.770029152634088,0.719912377340263,0.809356111631729,0.95,0.238287246857889,0.135125720976439,0.34144877273934
Group Mean,Insecticide,0.54709415650233,0.488923673113432,0.598051563708518,,0.219378939778806,0.131180838058801,0.30757704149881
Silver 7.8 µM,Metal,0.327417066030614,0.269898143400092,0.381535350525442,0.95,0.0707014409196297,0.0166913033867837,0.124711578452476
Lead,Metal,0.333535859131536,0.276783827849609,0.386978541775768,0.95,0.265775797202313,0.175456252668568,0.356095341736058
Zinc,Metal,0.362795376836936,0.301510530557218,0.420246385176155,0.95,0.0807134885645128,0.0192425513833939,0.142184425745632
Arsenic,Metal,0.441796726901505,0.379913527924998,0.498136950641426,0.95,0.0659333770972445,0.0133220843144438,0.118544669880045
Mercury,Metal,0.601472111610648,0.543414024908459,0.652174115831368,0.95,0.198402340944268,0.117157869024611,0.279646812863925
Copper,Metal,0.616151235553243,0.557509524980832,0.665742931539802,0.95,0.371040862219733,0.27199258072149,0.470089143717976
Cadmium,Metal,0.636394095201444,0.580169733537615,0.684422225673977,0.95,0.306887092942873,0.211277674725548,0.402496511160198
Nickel,Metal,0.700492698458024,0.650375748167691,0.741735532641363,0.95,0.334390379274691,0.237332522563805,0.431448235985577
Silver 250 µM,Metal,0.820288723131708,0.783468766131357,0.849845556267658,0.95,0.439834110657776,0.335407247240851,0.544260974074702
Group Mean,Metal,0.537815988095073,0.482560425273097,0.586757510008107,,0.23707543220256,0.155320009558833,0.318830854846288
