strain	length_2_4_D	length_Aldicarb	length_Arsenic_trioxide	length_Atrazine	length_Cadmium_dichloride	length_Carbaryl	length_Carboxin	length_Chlorfenapyr	length_Chlorothalonil	length_Chlorpyrifos	length_Copper_chloride	length_Lead_nitrate	length_Malathion	length_Mancozeb	length_Methomyl	length_Methyl_mercury	length_Nickel_dichloride	length_Paraquat_250	length_Propoxur	length_Pyraclostrobin	length_Silver_nitrate_250	length_Triphenyl_phosphate_50	length_Zinc_dichloride
AB1	25.2394870867179	25.7301680185473	-15.4121983907255	-10.0949273215445	-94.7622281578179	4.17922081592047	9.08660756826615	-48.7975776947411	12.9230425026814	-23.5527816092532	53.4063263296491	-32.1936701685115	-21.2241893914896	-6.94690187900462	27.14849186272	43.8987545432855	48.6011838694225	-7.85353945649095	-9.04352345160248	-23.9544928696112	2.56437707126011	-27.7845994474222	-36.4269377280125
BRC20263	7.54101506066384	-34.1758123217831	32.2749764855174	10.6014851511273	-3.38542931948626	3.97482694809038	-1.7326748293021	-43.1519974318982	7.31690487410983	38.6335890115684	-135.111191614657	21.9677614648543	-4.16266657109514	11.9959493978352	-44.3153180518048	-54.8059423957833	98.1898540155026	-36.9097627166862	-11.7392201244209	26.9732183657517	-30.5931549337431	48.6407194456541	-5.50991510399572
CB4854	7.91667625972722	28.0093995666614	23.6794058458796	7.70791610215386	17.9170475151699	-11.9615273433815	-28.5220971800416	2.17760077524116	9.86420452237845	-8.05619884167649	35.0112149079204	2.33097082764855	-0.106645450921788	6.10687276946129	44.4018028835539	14.6250746177958	37.549716213418	45.0741143602588	-1.51703434884304	21.9362963453463	46.1467856385616	42.7616749635383	0.269595679833131
CB4855	42.3465101171744	13.166776493524	-9.33976812649243	7.47293761727629	9.94975642431427	-14.2509099246168	-19.0229214578442	-19.8487308038184	7.50242204093925	-9.93677810086514	-25.333340208547	20.0120996716653	16.6864395469827	-11.0106201283958	33.4092932630345	-13.4663960197792	1.0887348922226	9.84402858171519	-3.73065925392056	19.1690070561626	2.93994981204226	-5.77545016925784	13.3986399125929
CB4856	23.6759240833374	81.6083397523151	-2.1897401487789	-8.06345853994437	-3.8746915238773	16.8007879274349	10.4944262191392	-0.732030756111567	7.08103471451101	14.5077965095568	-0.176774250013146	-17.5544897026109	32.3976922352703	-37.7114619702381	-15.9930366773268	12.02751314996	-91.3647369468099	-33.948873123263	11.4741612060651	10.6334810026048	-56.6469265161729	-1.96011772323104	-11.327652491519
CB4857	57.8615635791094	-64.5336015479431	19.3927071060529	23.5651276226938	16.6736467372085	10.0809889765457	-29.7273797907332	24.091944678248	6.60496031600891	-29.9416328025092	21.3629346495772	-10.6228946800509	52.6771819097406	-6.88185713185104	43.533385381552	-26.7284630219074	57.3860256725706	31.763283945137	28.7845049081119	16.6849646236881	35.8430188266353	45.1060373545852	-7.07258704517129
CX11264	-21.8036269737718	-83.2040955310887	21.1451182817324	-1.42306940849131	19.8197863681383	-32.3768083152392	-15.5222215672165	7.38875709692502	-16.9825194545222	1.04290523414191	-26.3579562070707	33.8508093821574	30.9207835611721	15.6767682970227	-56.8409861711599	-30.5174069432467	45.1929170849035	42.9456057491289	-15.9229265382478	9.75840205040697	55.2623565360836	51.3559973584195	26.2132247200215
CX11271	-22.5251283915274	74.2157485417991	-33.9732939377713	10.0860514230521	-35.6089057255247	33.3468679378758	30.6089579918858	-24.6716952702682	52.7766223583707	73.1120098655333	-22.3898969474625	-7.62451748358934	24.8862063297763	22.1689105527324	151.677624952268	-66.5910812883821	20.1749293856533	-16.8971773446074	17.8663224183387	6.28447358754452	-16.4224192763453	9.7968227000108	24.1784597366436
CX11276	11.5969240549688	23.4649228706458	-11.38089712196	-19.7420802463068	-72.0751356758198	-19.2012527932405	-67.7156897490596		-50.6837137074093		-17.5317939472556	-29.3072962966315	-68.1276625454911	-23.1069105311175		-158.963647426247	6.72874740973412	-43.1093906280109	-7.31366803764719	-69.4662067297789	-40.6648068819444	-54.0209552456363	-1.55905103240121
CX11292	1.79127620287668	12.738741779096	-4.52900273995773	-2.23841257038937	3.20153331267565	-7.65464631190593	-8.37009685304067		15.4433141803267		-5.16322477918211	11.2750015856586	24.6036702133182	0.30976416540101		-41.5159761439869	6.27719199521494	31.900782400099	-0.253619309296291	6.15211850974628	25.6971974697536	41.8211287822014	-4.72176194882325
