"strain","drug","StrainMean_NormLength","mean_NormLength","sd_NormLength","twoSD_pos","twoSD_neg","nice_drug_label2","big_class","moa_class","LowResponder","HighResponder"
"AB1","2_4-D",25.2394870867178,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"AB1","Aldicarb",25.7301680185473,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"AB1","Arsenic trioxide",-15.4121983907255,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"AB1","Atrazine",-10.0949273215445,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"AB1","Cadmium dichloride",-94.7622281578179,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,1
"AB1","Carbaryl",4.17922081592047,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"AB1","Carboxin",9.08660756826615,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"AB1","Chlorfenapyr",-48.7975776947411,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"AB1","Chlorothalonil",12.9230425026814,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"AB1","Chlorpyrifos",-23.5527816092532,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"AB1","Copper chloride",53.4063263296491,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"AB1","Lead nitrate",-32.1936701685115,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"AB1","Malathion",-21.2241893914896,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"AB1","Mancozeb",-6.94690187900462,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"AB1","Methomyl",27.14849186272,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"AB1","Methyl mercury",43.8987545432855,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"AB1","Nickel dichloride",48.6011838694225,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"AB1","Paraquat_250",-7.85353945649095,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"AB1","Paraquat_62.5",-43.0520933812266,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"AB1","Propoxur",-9.04352345160247,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"AB1","Pyraclostrobin",-23.9544928696112,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"AB1","Silver nitrate_250",2.56437707126011,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"AB1","Silver nitrate_7.8",-26.8431722796152,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"AB1","Triphenyl phosphate_50",-27.7845994474222,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"AB1","Triphenyl phosphate_6.25",-6.57205872141857,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
