"strain","drug","StrainMean_NormLength","mean_NormLength","sd_NormLength","twoSD_pos","twoSD_neg","nice_drug_label2","big_class","moa_class","LowResponder","HighResponder"
"AB1","Zinc dichloride",-36.4269377280125,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"BRC20263","2_4-D",7.54101506066384,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"BRC20263","Aldicarb",-34.1758123217831,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"BRC20263","Arsenic trioxide",32.2749764855174,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"BRC20263","Atrazine",10.6014851511273,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"BRC20263","Cadmium dichloride",-3.38542931948626,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"BRC20263","Carbaryl",3.97482694809038,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"BRC20263","Carboxin",-1.7326748293021,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"BRC20263","Chlorfenapyr",-43.1519974318982,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"BRC20263","Chlorothalonil",7.31690487410983,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"BRC20263","Chlorpyrifos",38.6335890115684,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"BRC20263","Copper chloride",-135.111191614657,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,1
"BRC20263","Lead nitrate",21.9677614648543,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"BRC20263","Malathion",-4.16266657109514,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"BRC20263","Mancozeb",11.9959493978352,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"BRC20263","Methomyl",-44.3153180518047,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"BRC20263","Methyl mercury",-54.8059423957833,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"BRC20263","Nickel dichloride",98.1898540155026,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"BRC20263","Paraquat_250",-36.9097627166862,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"BRC20263","Paraquat_62.5",-23.1916284109463,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"BRC20263","Propoxur",-11.7392201244209,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"BRC20263","Pyraclostrobin",26.9732183657517,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"BRC20263","Silver nitrate_250",-30.5931549337431,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"BRC20263","Silver nitrate_7.8",17.460573982192,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"BRC20263","Triphenyl phosphate_50",48.6407194456541,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"BRC20263","Triphenyl phosphate_6.25",35.0256342504979,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"BRC20263","Zinc dichloride",-5.50991510399571,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"CB4854","2_4-D",7.91667625972722,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"CB4854","Aldicarb",28.0093995666614,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"CB4854","Arsenic trioxide",23.6794058458796,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"CB4854","Atrazine",7.70791610215385,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"CB4854","Cadmium dichloride",17.9170475151699,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"CB4854","Carbaryl",-11.9615273433815,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"CB4854","Carboxin",-28.5220971800416,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"CB4854","Chlorfenapyr",2.17760077524116,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"CB4854","Chlorothalonil",9.86420452237845,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"CB4854","Chlorpyrifos",-8.05619884167649,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"CB4854","Copper chloride",35.0112149079204,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"CB4854","Lead nitrate",2.33097082764855,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"CB4854","Malathion",-0.106645450921788,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"CB4854","Mancozeb",6.10687276946129,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"CB4854","Methomyl",44.4018028835539,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"CB4854","Methyl mercury",14.6250746177958,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"CB4854","Nickel dichloride",37.549716213418,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"CB4854","Paraquat_250",45.0741143602588,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"CB4854","Paraquat_62.5",33.225251791238,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"CB4854","Propoxur",-1.51703434884304,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"CB4854","Pyraclostrobin",21.9362963453463,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"CB4854","Silver nitrate_250",46.1467856385616,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"CB4854","Silver nitrate_7.8",-10.0010035877645,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"CB4854","Triphenyl phosphate_50",42.7616749635383,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"CB4854","Triphenyl phosphate_6.25",12.3164421984469,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"CB4854","Zinc dichloride",0.269595679833132,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"CB4855","2_4-D",42.3465101171744,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"CB4855","Aldicarb",13.166776493524,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"CB4855","Arsenic trioxide",-9.33976812649243,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"CB4855","Atrazine",7.47293761727629,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"CB4855","Cadmium dichloride",9.94975642431427,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"CB4855","Carbaryl",-14.2509099246168,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"CB4855","Carboxin",-19.0229214578442,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"CB4855","Chlorfenapyr",-19.8487308038184,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"CB4855","Chlorothalonil",7.50242204093925,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"CB4855","Chlorpyrifos",-9.93677810086513,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"CB4855","Copper chloride",-25.333340208547,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"CB4855","Lead nitrate",20.0120996716653,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"CB4855","Malathion",16.6864395469827,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"CB4855","Mancozeb",-11.0106201283958,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"CB4855","Methomyl",33.4092932630345,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"CB4855","Methyl mercury",-13.4663960197791,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"CB4855","Nickel dichloride",1.0887348922226,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"CB4855","Paraquat_250",9.84402858171519,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"CB4855","Paraquat_62.5",-21.0147639454289,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"CB4855","Propoxur",-3.73065925392056,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"CB4855","Pyraclostrobin",19.1690070561626,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"CB4855","Silver nitrate_250",2.93994981204226,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"CB4855","Silver nitrate_7.8",-3.96140930441801,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"CB4855","Triphenyl phosphate_50",-5.77545016925784,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"CB4855","Triphenyl phosphate_6.25",-1.57985571689881,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"CB4855","Zinc dichloride",13.3986399125929,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"CB4856","2_4-D",23.6759240833374,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"CB4856","Aldicarb",81.6083397523151,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"CB4856","Arsenic trioxide",-2.1897401487789,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"CB4856","Atrazine",-8.06345853994437,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"CB4856","Cadmium dichloride",-3.8746915238773,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"CB4856","Carbaryl",16.8007879274349,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"CB4856","Carboxin",10.4944262191392,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"CB4856","Chlorfenapyr",-0.732030756111566,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"CB4856","Chlorothalonil",7.08103471451101,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"CB4856","Chlorpyrifos",14.5077965095568,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"CB4856","Copper chloride",-0.176774250013145,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"CB4856","Lead nitrate",-17.5544897026109,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"CB4856","Malathion",32.3976922352703,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"CB4856","Mancozeb",-37.7114619702381,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"CB4856","Methomyl",-15.9930366773268,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"CB4856","Methyl mercury",12.02751314996,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"CB4856","Nickel dichloride",-91.3647369468099,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"CB4856","Paraquat_250",-33.948873123263,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"CB4856","Paraquat_62.5",18.3347851830433,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"CB4856","Propoxur",11.4741612060651,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"CB4856","Pyraclostrobin",10.6334810026048,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"CB4856","Silver nitrate_250",-56.6469265161729,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"CB4856","Silver nitrate_7.8",-6.81608064764666,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"CB4856","Triphenyl phosphate_50",-1.96011772323104,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"CB4856","Triphenyl phosphate_6.25",11.9574859848937,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"CB4856","Zinc dichloride",-11.327652491519,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"CB4857","2_4-D",57.8615635791094,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"CB4857","Aldicarb",-64.5336015479431,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"CB4857","Arsenic trioxide",19.3927071060529,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"CB4857","Atrazine",23.5651276226938,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"CB4857","Cadmium dichloride",16.6736467372085,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"CB4857","Carbaryl",10.0809889765457,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"CB4857","Carboxin",-29.7273797907332,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"CB4857","Chlorfenapyr",24.091944678248,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"CB4857","Chlorothalonil",6.6049603160089,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"CB4857","Chlorpyrifos",-29.9416328025092,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"CB4857","Copper chloride",21.3629346495772,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"CB4857","Lead nitrate",-10.6228946800509,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"CB4857","Malathion",52.6771819097406,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"CB4857","Mancozeb",-6.88185713185104,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"CB4857","Methomyl",43.533385381552,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
"CB4857","Methyl mercury",-26.7284630219074,4.84256965590387,70.0528674962311,144.948304648366,-135.263165336558,"Mercury","Metal","Redox disruption",0,0
"CB4857","Nickel dichloride",57.3860256725706,4.08997990215324,64.5529867163247,133.195953334803,-125.015993530496,"Nickel","Metal","Other|unknown",0,0
"CB4857","Paraquat_250",31.763283945137,3.5612305407088,28.823154147461,61.2075388356309,-54.0850777542133,"Paraquat 250 µM","Herbicide","Redox disruption",0,0
"CB4857","Paraquat_62.5",22.0167206304969,-4.40347057181204,40.8606407299267,77.3178108880414,-86.1247520316655,"Paraquat 62.5 µM","Herbicide","Redox disruption",0,0
"CB4857","Propoxur",28.7845049081119,0.0163981092352304,18.4590721593118,36.9345424278589,-36.9017462093885,"Propoxur","Insecticide","AChE inhibition",0,0
"CB4857","Pyraclostrobin",16.6849646236881,2.87245923634161,29.7244082551688,62.3212757466792,-56.576357273996,"Pyraclostrobin","Fungicide","Redox disruption",0,0
"CB4857","Silver nitrate_250",35.8430188266353,4.762872938844,30.9542099501434,66.6712928391308,-57.1455469614428,"Silver 250 µM","Metal","Other|unknown",0,0
"CB4857","Silver nitrate_7.8",5.01777387749921,0.300727690818528,18.0204279621692,36.3415836151568,-35.7401282335198,"Silver 7.8 µM","Metal","Other|unknown",0,0
"CB4857","Triphenyl phosphate_50",45.1060373545852,0.953639911324413,37.8710191715565,76.6956782544375,-74.7883984317887,"TPhP 50 µM","Flame Retardant","Other|unknown",0,0
"CB4857","Triphenyl phosphate_6.25",-12.0034566171824,0.633238813957901,25.1791821639183,50.9916031417946,-49.7251255138788,"TPhP 6.25 µM","Flame Retardant","Other|unknown",0,0
"CB4857","Zinc dichloride",-7.07258704517129,-0.410868990416501,18.8228656570518,37.2348623236871,-38.0566003045201,"Zinc","Metal","Other|unknown",0,0
"CX11264","2_4-D",-21.8036269737718,0.297240680893414,34.3048980040383,68.90703668897,-68.3125553271832,"2,4-D","Herbicide","Other|unknown",0,0
"CX11264","Aldicarb",-83.2040955310887,-5.48069534679786,66.8955110996989,128.3103268526,-139.271717546196,"Aldicarb","Insecticide","AChE inhibition",0,0
"CX11264","Arsenic trioxide",21.1451182817324,1.51754432587174,37.8236976208408,77.1649395675533,-74.1298509158098,"Arsenic","Metal","Redox disruption",0,0
"CX11264","Atrazine",-1.4230694084913,-0.449564132208347,30.1418764523697,59.8341887725311,-60.7333170369478,"Atrazine","Herbicide","Redox disruption",0,0
"CX11264","Cadmium dichloride",19.8197863681383,0.59012551367972,40.8316675374654,82.2534605886105,-81.0732095612511,"Cadmium","Metal","Redox disruption",0,0
"CX11264","Carbaryl",-32.3768083152392,-0.021581494171306,41.3518761645487,82.6821708349261,-82.7253338232687,"Carbaryl","Insecticide","AChE inhibition",0,0
"CX11264","Carboxin",-15.5222215672165,-2.34575223270257,47.4918357609118,92.637919289121,-97.3294237545261,"Carboxin","Fungicide","Redox disruption",0,0
"CX11264","Chlorfenapyr",7.38875709692501,-3.23816143792962,57.5317008232735,111.825240208617,-118.301563084477,"Chlorfenapyr","Insecticide","Redox disruption",0,0
"CX11264","Chlorothalonil",-16.9825194545222,-0.192007455920102,23.6397289158149,47.0874503757096,-47.4714652875498,"Chlorothalonil","Fungicide","Redox disruption",0,0
"CX11264","Chlorpyrifos",1.04290523414191,3.23510414151989,31.316415820647,65.867935782814,-59.3977274997742,"Chlorpyrifos","Insecticide","AChE inhibition",0,0
"CX11264","Copper chloride",-26.3579562070707,1.56509946618643,42.9320597169338,87.429218900054,-84.2990199676812,"Copper","Metal","Redox disruption",0,0
"CX11264","Lead nitrate",33.8508093821574,0.278492362231999,19.8697371921976,40.0179667466272,-39.4609820221632,"Lead","Metal","Redox disruption",0,0
"CX11264","Malathion",30.9207835611721,-0.961847239793944,41.5336178680084,82.1053884962229,-84.0290829758108,"Malathion","Insecticide","AChE inhibition",0,0
"CX11264","Mancozeb",15.6767682970227,2.10751094136049,20.0326672994109,42.1728455401823,-37.9578236574613,"Mancozeb","Fungicide","AChE inhibition",0,0
"CX11264","Methomyl",-56.8409861711599,9.30914167690872,49.9834762191599,109.276094115229,-90.6578107614111,"Methomyl","Insecticide","AChE inhibition",0,0
