"strain","Outlier_Type","Count"
"AB1","n_HighResponder",1
"BRC20263","n_HighResponder",1
"CX11271","n_LowResponder",3
"CX11276","n_HighResponder",3
"CX11314","n_HighResponder",1
"DL238","n_HighResponder",1
"DL238","n_LowResponder",3
"ECA1069","n_HighResponder",2
"ECA1074","n_HighResponder",1
"ECA2546","n_HighResponder",1
"ECA2549","n_HighResponder",1
"ECA2554","n_HighResponder",2
"ECA2561","n_HighResponder",4
"ECA2595","n_HighResponder",3
"ECA2601","n_HighResponder",1
"ECA2601","n_LowResponder",2
"ECA2602","n_HighResponder",1
"ECA2603","n_HighResponder",1
"ECA2607","n_HighResponder",1
"ECA2607","n_LowResponder",1
"ECA2615","n_HighResponder",1
"ECA2656","n_HighResponder",1
"ECA2659","n_HighResponder",1
"ECA2660","n_HighResponder",2
"ECA36","n_HighResponder",1
"ECA36","n_LowResponder",3
"ECA396","n_HighResponder",6
"ECA396","n_LowResponder",1
"ECA594","n_HighResponder",4
"ECA923","n_LowResponder",2
"ED3049","n_LowResponder",2
"EG4349","n_HighResponder",1
"JU1172","n_LowResponder",1
"JU1212","n_HighResponder",2
"JU1213","n_LowResponder",1
"JU1249","n_LowResponder",1
"JU1395","n_LowResponder",1
"JU1491","n_HighResponder",2
"JU1491","n_LowResponder",1
"JU1568","n_HighResponder",1
"JU1792","n_HighResponder",2
"JU1934","n_LowResponder",1
"JU2131","n_HighResponder",1
"JU2464","n_LowResponder",3
"JU2522","n_HighResponder",1
"JU2522","n_LowResponder",1
"JU2565","n_HighResponder",1
"JU2570","n_LowResponder",1
"JU2576","n_LowResponder",1
"JU258","n_HighResponder",3
"JU2587","n_HighResponder",4
"JU2592","n_HighResponder",1
"JU2592","n_LowResponder",1
"JU2838","n_HighResponder",1
"JU2866","n_LowResponder",2
"JU2879","n_LowResponder",1
"JU2906","n_LowResponder",2
"JU310","n_LowResponder",1
"JU3132","n_HighResponder",4
"JU3132","n_LowResponder",3
"JU3144","n_HighResponder",3
"JU3224","n_HighResponder",1
"JU323","n_HighResponder",1
"JU3291","n_LowResponder",2
"JU346","n_HighResponder",1
"JU367","n_LowResponder",1
"JU4047","n_HighResponder",2
"JU4098","n_LowResponder",1
"JU774","n_HighResponder",1
"JU774","n_LowResponder",1
"JU778","n_HighResponder",2
"LKC34","n_HighResponder",1
"MY1","n_LowResponder",5
"MY16","n_HighResponder",2
"MY2453","n_HighResponder",2
"MY2530","n_LowResponder",2
"MY2535","n_LowResponder",2
"MY679","n_HighResponder",1
"MY772","n_LowResponder",2
"MY920","n_HighResponder",1
"NIC1049","n_HighResponder",1
"NIC166","n_HighResponder",1
"NIC1786","n_HighResponder",5
"NIC1794","n_HighResponder",6
"NIC1799","n_HighResponder",1
"NIC1809","n_HighResponder",1
"NIC1810","n_HighResponder",3
"NIC1811","n_HighResponder",1
"NIC1812","n_HighResponder",1
"NIC1812","n_LowResponder",1
"NIC252","n_LowResponder",1
"NIC256","n_HighResponder",2
"NIC256","n_LowResponder",1
"NIC259","n_HighResponder",1
"NIC262","n_HighResponder",1
"NIC526","n_LowResponder",1
"PB306","n_HighResponder",1
"PX179","n_HighResponder",4
"QG2818","n_LowResponder",2
"QG2828","n_HighResponder",1
"QG2837","n_HighResponder",4
"QG2837","n_LowResponder",1
"QG2854","n_HighResponder",1
"QG2855","n_HighResponder",1
"QG2873","n_HighResponder",1
"QG2874","n_LowResponder",2
"QG4003","n_HighResponder",1
"QG4008","n_HighResponder",1
"QG4018","n_HighResponder",1
"QG4080","n_HighResponder",1
"QG4135","n_HighResponder",3
"QG4228","n_LowResponder",6
"RC301","n_LowResponder",1
"TWN2530","n_LowResponder",1
"WN2001","n_HighResponder",1
"WN2001","n_LowResponder",1
"WN2064","n_HighResponder",1
"WN2066","n_HighResponder",1
"WN2066","n_LowResponder",1
"WN2082","n_LowResponder",2
"WN2086","n_HighResponder",1
"XZ1516","n_LowResponder",4
"XZ2018","n_HighResponder",2
